,Title,Author,Call_Number,Year,Type,Subject
0," Descripcion de las maquinas de mas general utilidad que hay en el Real Gabinete de ellas, establecido en el Buen-Retiro hecha en orden de S.M","López de Peñalver, Juan 1763?-1835",R/39554,1798,Monographs,Tecnología
1, Dictámen y proyecto de ley acerca de los inventos medicinales,España Cortes (1820-1823) Comisión de Salud Pública autor,VE/716/26,1821,Monographs,Tecnología
2, Cartilla práctica sobre elaboreo de las minas y reconocimiento y beneficio de los metales,"Berdegal de la Cuesta, Juan",1/42539,1838,Monographs,Tecnología
3," Elementos de laboreo de Minas [Texto impreso] : precedidos de algunas nociones sobre geognosia y la descripción de varios criaderos de minerales, tanto de España como de otros reinos de Europa","Ezquerra del Bayo, Joaquín 1793-1859",2/25558,1839,Monographs,Tecnología
4," Manual tecnolójico [sic] [Texto impreso] : periódico semanal de industria, artes y oficios",NA,REVMICRO/1837&lt;1&gt;,1840,Newspapers/Magazines,Tecnología
5," Elementos prácticos de esplotación : que tratan de todo lo relativo al arte de ecsaminar la superficie de los terrenos, de hacer los trabajos de pesquisa","Brard, Cyprien Prosper",7/38155,1843,Monographs,Tecnología
6," Manual del minero de oro, plata, cobre y plomo [Texto impreso] : con una sucinta relación del modo de formar las minas","Santoyo, Gerónimo",VC/2503/2,1848,Monographs,Tecnología
7, Diccionario de las voces mas usadas en minería [Texto impreso],NA,VC/442/21,1848,Monographs,Tecnología
8, Elementos de laboreo de minas [Texto impreso] : precedidos de algunas nociones sobre geología,"Ezquerra del Bayo, Joaquín 1793-1859",10/203724,1851,Monographs,Tecnología
9, El minero perfecto : ó sea método fácil... para... buscar las tierras y filones metálicos .... ; síguese El arte de los metales ... / por Álvaro Alonso Barba,"Alonso y Laso, Alonso De las minas que en tiempo de los romanos había en España",1/79042,1852,Monographs,Tecnología
10," Diccionario de artes y manufacturas, de agricultura, de minas, etc. [Texto impreso] : descripción de todos los procedimientos industriales y fabriles","Laboulaye, Charles 1813-1886",1/34983,1856,Monographs,Tecnología
11, Manual de laboreo de minas y beneficio de metales [Texto impreso] : dispuesto para uso de los mineros y azogueros de la República Mejicana,"Hermosa, Francisco de Paula",2/83589,1857,Monographs,Tecnología
12," English mechanic and mirror of science [Texto impreso] : engineering, building, inventions, electricity, photography, chemistry &amp;c",NA,D/5768,1866,Newspapers/Magazines,Tecnología
13, Lecciones de laboreo de minas [Texto impreso],NA,1/43680,1866,Monographs,Tecnología
14, Nociones de artes mecánicas y procedimientos industriales,"Sitges, Juan B. 1842-1919",1/28900,1872,Monographs,Tecnología
15, Curso de práctica de operaciones farmacéuticas [Texto impreso],"Sádaba García del Real, Ricardo",1/28572,1876,Monographs,Tecnología
16, Manual de laboreo de minas y beneficio de metales,"Hermosa, Francisco de Paula",1/68782,1889,Monographs,Tecnología
17, El instructor del practicante de farmacia : escrito conforme a las exigencias del servicio en la Farmacia del Hospital provincial de Ntra. Sra. de Gracia de Zaragoza,"Górriz y Muñoz, Ricardo José 1850-1916",1/69283,1890,Monographs,Tecnología
