,Subject,Title
0,Ingeniería," Informes i monografías presentadas al Ministerio de Instrucción Pública por la Delegación Chilena al Congreso Científico Internacional-Americano, celebrado en Buenos Aires del 10 al 25 de Julio de 1910 [Texto impreso]"
1,Ingeniería, Memorias sobre la verificación y sello de los contadores para gas de Barcelona y de la villa de Gracia [Manuscrito]
2,Ingeniería, [Armas del siglo XV] [Material gráfico]
3,Ingeniería, Saltos de agua [Texto impreso] : motores e instalaciones hidraúlicas
4,Ingeniería, Saneamiento de poblaciones
5,Ingeniería," Disertacion teórica sobre el modo de producir un motor permanente sin consumo de combustible ni otra materia alguna, por medio de la combinación de la presión atmosférica con la fuerza elástica de un resorte sólido poligonal [Texto impreso] : ó sea Resolución teórica del célebre problema del movimiento contínuo"
6,Ingeniería, [Ejercicio de dibujo lineal]
7,Ingeniería," Bomba hydraulica : instrumento facil, que para elevar aguas ha discurrido"
8,Ingeniería," Relación de los caminos más principales que dirigen a Portugal desde Orense, con expresión de todas sus circustancias"
9,Ingeniería, [Alegoría de la ingeniería] [Material gráfico]
10,Ingeniería, Revista de obras públicas
11,Ingeniería, Manera de trazar un ancla en el siglo XVI [Material gráfico]
12,Ingeniería, [Ejercicios de dibujo a mano alzada para Academia Oteiza II]
13,Ingeniería, Conservadores y forestales : conferencia leída en el Círculo Conservador el día 15 de febrero de 1914
14,Ingeniería," Memorial de ingenieros [Texto impreso] : memorias, artículos y noticias interesantes al arte de la guerra en general y a la profesión de ingenieros en particular"
15,Ingeniería," Estudios críticos acerca de la dominación española en América. XIV. Parte cuarta, Bellas artes [2] [Texto impreso]"
16,Ingeniería," Cartilla práctica de construccion naval : dispuesta en forma de vocabulario : con algunos apéndices, y las nomenclaturas francesa, inglesa é italiana, con su correspondencia en castellano : para uso de los principiantes en este ramo tan esencial de la marina"
17,Ingeniería, Discursos leídos ante la Real Academia de Ciencias en la recepción pública del Excmo. Sr. D. Lucio del Valle
18,Ingeniería, Perfil de una Contramina executada en Cadiz para quitar las ruinas del pie de la brecha
19,Ingeniería, [Apunte de unos carros] [Material gráfico]
20,Mecánica," Manual del mecánico. Primera parte, Principios de mecánica general"
21,Mecánica," Tratado de física. XIII, Teoría de los quanta y estructura del átomo"
22,Mecánica, Primeras nociones de Mecánica relativista [Texto impreso]
23,Mecánica, Manual de elementos de mecánica industrial y máquinas
24,Mecánica, Manual elemental de mecánica aplicada [Texto impreso]
25,Mecánica, Apuntes para el estudio de la mecánica de D.R. de Bruna [Texto impreso]
26,Mecánica, Mecánica aplicada a las construcciones [Texto impreso]
27,Mecánica, Leyes mecánicas de los líquidos turbios y de los gases nebulosos descubiertas y demostradas experimentalmente
28,Mecánica, Principios generales de mecánica [Texto impreso]
29,Mecánica," Programa de un curso de geometría y mecánica, aplicadas á las artes : para uso de los artesanos, y de los maestros y demas personas que dirigen talleres ó fábricas"
30,Mecánica," Compendio de mecánica práctica [Texto impreso] : para uso de los niños, artistas, artesanos"
31,Mecánica, Estadística del impuesto de la patente nacional de vehiculos de tracción mecánica [Texto impreso]
32,Mecánica, Mecánica no-Newtoniana de tipo elíptico [Texto impreso]
33,Mecánica, Discurso leído ante el claustro de la Universidad Central en el solemne acto de recibir la Investidura de Doctor
34,Mecánica," Teoría mecánica de las construcciones, para los estudios de la Academia Especial de Ingenieros [Texto impreso] : sacada de las obras de M. Novier y de varios autores"
35,Mecánica, Nociones de mecánica de sólidos para uso de los estudiantes de Física [Texto impreso]
36,Mecánica, Datos y formulas mas importantes de Mecánica Aplicada á las Construcciones [Texto impreso]
37,Mecánica, Tratado elemental de Mecánica Aplicada [Texto impreso]
38,Mecánica, Manual de mecánica industrial con aplicación a varias máquinas [Texto impreso]
39,Mecánica, Problemas y ejercicios de mecánica racional [Texto impreso]
40,Técnica, Tratado de fotografía práctica [Texto impreso]
41,Técnica, [Álbum muestrario de etiquetas de chocolate]
42,Técnica, [Escenas de niños]
43,Técnica, El fotógrafo profesional
44,Técnica, Cuarto Menguante
45,Técnica, Trajes Regionales
46,Técnica," ""><!-- and/or display linked 880 data --></a></"
47,Técnica, [Varias figuras y paisajes]
